id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_02476,"The ""dead guy"" was never found as far as I know.",0,1,0,1,1
eng_train_track_a_01166,"My dad was in the car, my mom was signing medical consents, and my sister was holding my hand and telling me to breath to keep me calm.",0,1,0,1,0
eng_train_track_a_00934,I've never had my cheeks hurt so much from laughing and / or smiling.,0,0,1,0,0
eng_train_track_a_01896,Rolled my eyes at some of the religious nuts I work with.,1,0,0,0,0
eng_train_track_a_00125,"But the emotional constrictor that had wrapped itself around my ribs and stomach seems to have gone, and it's not a strain to smile.",0,0,1,0,0
eng_train_track_a_01859,I thought it must have been a good time to have a nap so I fell asleep.,0,0,1,0,0
eng_train_track_a_01173,"""I forget, but I never forgive!",1,0,0,0,0
eng_train_track_a_02120,"So i walk up to the doctor, shake his hand, then inject him with the killing sauce he just gave to me from my freshly filled needle.",1,1,0,0,0
eng_train_track_a_01301,""" I explain the promotion to them and he is quick to decide he wants three.",0,0,1,0,1
eng_train_track_a_00603,"It was a perfectly clear night, and I mean like we could see the Milky Way.",0,0,1,0,1
eng_train_track_a_02382,"Anyway, there was this one girl (about 8 or 9 years old) who would always sit quietly and smile.",0,0,1,0,0
eng_train_track_a_01455,"The back half is dark and dense woods, overgrown, only one trail winding through.",0,1,0,0,0
eng_train_track_a_02153,"As I got close to it, I realized that my handlebars were not going to fit, but it was too late to stop or turn.",0,1,0,0,1
eng_train_track_a_01045,Naturally we freaked out.,0,1,0,0,1
eng_train_track_a_01240,Idk what to believe..,0,1,0,1,1
eng_train_track_a_00007,You know what happens when I get one of these stupid ideas in my head.,1,1,0,0,0
eng_train_track_a_01421,"After we had finished eating, some of us continued shopping ( or wandering around the shops ) and a number of times, I was told to crouch down with my knees spread or bend over and had the jumper lifted.",0,1,0,0,0
eng_train_track_a_00597,"Once, while lying in bed falling asleep, I felt that the zombie apocalypse was beginning at that very moment.",0,1,0,0,1
eng_train_track_a_01194,My foot was tingling for sometime afterwards but the pain was mostly gone and there was no more grinding sensation.,0,1,0,0,0
eng_train_track_a_00476,"I sighed heavily and flipped the blade in my hand, gently pressing the hilt to his forehead.",1,1,0,0,0
eng_train_track_a_01401,"Well, I stopped looking after two, because I really didn't want to know.And of course the natural progression of this examination is to move to the hair on my head... which fared no better.I am my father's daughter, and I am going to be a dashing salt-and-pepper by the time I am 35.",0,0,1,0,1
eng_train_track_a_01012,"""I don't know I don't know I don't know...""",0,1,0,1,0
eng_train_track_a_00684,All the changes get thrown out of the window as I attempt to keep my head above water during this 4-day work week before the July 4th weekend.,0,1,0,0,0
eng_train_track_a_02038,Jon and I decided to see how long it took for someone to notice the ring on my finger.,0,0,1,0,1
eng_train_track_a_02184,"As I was looking at it, a terrifying dog that shows up pretty regularly in my nightmares started barked and throwing itself at the door all Cujo-like.",0,1,0,0,1
eng_train_track_a_02582,I spent most of it explaining / excusing my eyes-closed style.,0,0,1,0,0
eng_train_track_a_02356,They ended up suspending girls as well.,1,0,0,0,0
eng_train_track_a_02388,My back ached and i was glad to sit down at every oppourtunity.,0,0,1,1,0
eng_train_track_a_00225,"It started out slow, like we'd fight once a month over stupid little things and sometimes big things.",1,1,0,1,0
eng_train_track_a_00144,Not creepy but ghostly.,0,1,0,0,1
eng_train_track_a_00517,I was wearing 45spf sunscreen and I still got some colour on my forearms.,0,1,0,0,0
eng_train_track_a_01013,took the skin off my knuckles an my hand bleeding like hell but i felt kinda better.,0,1,0,1,0
eng_train_track_a_01903,That's messed up.,1,0,0,0,1
eng_train_track_a_01164,"this lake... that my feet are now standing in... is not only the lake that Jesus calmed in mark 4, but it is also the very water that Jesus walked on!",0,0,1,0,1
eng_train_track_a_01170,"Well, I was being nice and throwing our trash away at Sonic... he started to back up, so I slammed my hands on the front of the car, so he started to pull forward... I laughed, finding it funny, and then I slowly realized that the car was against my shins and my feet were under the bumper of the car.......",0,1,0,0,1
eng_train_track_a_00296,About 2 weeks ago I thought I pulled a muscle in my calf.,0,1,0,1,0
eng_train_track_a_00955,No one else in the class did.,0,0,0,1,1
eng_train_track_a_01976,Which means I have a ton of extra time on my hands.,0,0,1,0,0
eng_train_track_a_00902,Like I found a way to escape gravity and moved about my bedroom as though I was on the ISS or something; thrilling at my new found ability.,0,0,1,0,1
eng_train_track_a_02009,I will never forget hat day.,0,0,0,1,1
eng_train_track_a_00422,He looked completely lost.,0,1,0,1,0
eng_train_track_a_01740,I took my son and moved out and he moved in with her.,1,1,0,1,0
eng_train_track_a_01361,"""Yes Johnson"" ARcH replied.",0,0,0,0,1
eng_train_track_a_01657,Well literally no one showed up.,0,0,0,1,1
eng_train_track_a_02088,I have a ton of stitches in my mouth.,0,1,0,1,0
eng_train_track_a_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,1,0,1,1
eng_train_track_a_01095,"I'm trying to bribe them, keep them happy, and keep the steam from coming out of my ears, since i don't really know how to photoshop steam out.",1,1,0,0,0
eng_train_track_a_00901,"So, again, I tried to eat my lunch, my stomach in knots, an unseen hand gripping my heart.",0,1,0,1,0
eng_train_track_a_00303,I tried to fight but I received a strong hit on my back of the head and everything around became so dark.,1,1,0,1,1
eng_train_track_a_00882,I pull my arm away and purchase a ticket for a mystery movie and enter through the back entrance only to realize that the whole theater was crowded.,0,1,0,0,1
eng_train_track_a_00899,Her excuse to being late?,1,0,0,0,1
eng_train_track_a_01360,We went on rehearsing.,0,0,1,0,0
eng_train_track_a_00411,"Grandma leaned forward, let out a sigh of relief and died.",0,1,0,1,1
eng_train_track_a_02750,I had to be flown to the hospital.,0,1,0,1,1
eng_train_track_a_00636,I had a really nice boss and a kush part-time accounting job during college.,0,0,1,0,0
eng_train_track_a_02718,... I need to get this list of shit that's happened off my chest.,1,1,0,1,0
eng_train_track_a_00795,"When my back hit the far wall, and the shovel against the wall fell on the dirt, I screamed.",0,1,0,1,1
eng_train_track_a_02274,"throwing my legs out 45 degrees, i smiled and said `` wheeeeee ''.",0,0,1,0,0
eng_train_track_a_01254,i can see him staring from the corner of my eye i take a small glance and ask myself `` why? '',0,1,0,0,1
eng_train_track_a_01794,The thing I neglect to mention though.,0,1,0,0,1
eng_train_track_a_01111,"This will probably get buried, but here goes:",0,1,0,0,1
eng_train_track_a_00150,Can I add a bridesmaid-zilla story?,0,0,1,0,1
eng_train_track_a_02210,"Tall, pale, skinny, great body.",0,0,1,0,0
eng_train_track_a_00354,well come to know i slip on the egde of the pool i do this twisting action thing hit my hip or leg on the side of the pool and then fell in with all of my clothes on.,0,1,0,0,1
eng_train_track_a_01880,"You make me smile like the sun, fall out of bed, sing like a bird, dizzy in my head... Okay, so it's been quite a while since I've wrote last.",0,0,1,0,0
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_a_02662,"Something banged against the window (2nd floor), despite there being nothing that could have done it (the tree was too far away).",0,1,0,0,1
eng_train_track_a_00338,He wrapped his little fingers around mine and my heart melted.,0,0,1,0,0
eng_train_track_a_01943,"Had to scream my lungs out while the guy just let the crowd pass my bag to me, a bag which got passed all the way to the other side, before I finally managed to get my hands on to the neon orange carrier which had my Phone, Camera, Hard Drive, Wallet, and Keys.In the end had to change without bathing in a smelly toilet at Temasek Poly, before bidding Boon Goodbye on the phone whilst complaining about the event.",1,1,0,0,0
eng_train_track_a_01881,"He was then hit by congestive heart failure, fell into a coma, and passed away.",0,1,0,1,1
eng_train_track_a_00130,I could feel my heart breaking into millions of pieces.,0,0,0,1,0
eng_train_track_a_01347,"light and noise, they make my brain pound against my skull.",0,1,0,0,0
eng_train_track_a_00393,"Curtain pulled back, I shield my eyes for a moment, glare adjustment then neon colour washes over my face -- slack-jawed, open-mouthed awe $",0,0,1,0,1
eng_train_track_a_01571,"TL:DR The love of my life tried to kill me, I killed her first.",1,1,0,1,1
eng_train_track_a_02285,She is awesome and totally not Bride-zilla-y at all.,0,0,1,0,1
eng_train_track_a_02539,Never saw him again.,0,0,0,1,0
eng_train_track_a_02050,"in january i dropped some dead weight, which relieved my back a little from carrying other peoples problems around too much.",0,1,1,0,0
eng_train_track_a_00906,After an evening there we were driving back because we had no money for a hotel.,0,1,0,1,0
eng_train_track_a_00199,the cold outside feels so good on my skin.,0,0,1,0,0
eng_train_track_a_01587,"I sit up, my head hurts.",0,1,0,1,0
eng_train_track_a_00022,Remember the farm-ette?,0,0,1,0,1
eng_train_track_a_02699,Moral of the story?,0,0,0,0,1
eng_train_track_a_01453,The object was shaped funny and broken at an odd fracture.,0,1,0,0,1
eng_train_track_a_00143,"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.",0,1,0,0,1
eng_train_track_a_01248,"Shitty situation, dont protect yourself with guns unless shots have already been fired.",1,1,0,0,0
eng_train_track_a_00409,more funny than creepy being on this side of the story:,0,1,1,0,1
eng_train_track_a_02448,"""Gravestone says 'Died 20 February, 1957""",0,0,0,1,1
eng_train_track_a_01965,"I began to start running away again, but I tripped and fell flat on my back.",0,1,0,1,0
eng_train_track_a_01646,"I say, covering my ears with my hands and cringing into the door.",0,1,0,1,0
eng_train_track_a_00435,"I was ecstatic, but the joy was fleeting.",0,0,1,1,0
eng_train_track_a_01556,"All those feelings which he had buried deep in his heart, had now, after hundreds of years, risen up.",0,0,0,1,0
eng_train_track_a_02462,"As soon as I started climbing, my hands felt toasty warm.",0,0,1,0,0
eng_train_track_a_02610,Couldn't find it.,1,1,0,1,0
eng_train_track_a_00751,"Without a sensible thought in my head, I got out of the car.",0,1,0,0,0
eng_train_track_a_01762,A familiar voice rang in my ears.,0,0,0,0,1
eng_train_track_a_00656,I also danced so much that my calves hurt for 3 days.,0,0,1,0,0
eng_train_track_a_01214,It was a mess.,1,1,0,1,0
eng_train_track_a_02636,I go to sleep unshed tears burning in my eyes.,0,1,0,1,0
eng_train_track_a_00164,I wish I had.,0,0,0,1,0
eng_train_track_a_01201,The grip on my wrist tightened and my arm throbbed from the pressure.,1,1,0,0,0
eng_train_track_a_00196,It just... went away.,0,1,0,1,1
eng_train_track_a_01980,"Not a completely awful birthday, but my worst.",0,0,1,1,0
eng_train_track_a_01612,This sucks...sorry dude.,1,0,0,1,0
eng_train_track_a_01866,Today was a big-A straw that broke my back.,1,1,0,1,0
eng_train_track_a_01917,There's my stoner floor mate with a fucking stun gun.,1,1,0,0,1
eng_train_track_a_00181,"It looked like there was a golfball on the side of my knee... a purple, blueish golfball.",0,1,0,1,0
eng_train_track_a_01677,"The problem was, my brain was ready for a 22 mile ride, my body was not.",0,1,0,0,0
eng_train_track_a_02506,"I tried to lift my body but somehow it felt so hard $ My head hurt, my eyes were screaming to close and rest.",0,1,0,1,0
eng_train_track_a_02179,"Needless to say I'm having plans to do a master in IT Security, he?",0,0,1,0,0
eng_train_track_a_01118,"This is what I recall... There was a sheet draped across my belly, vertically, so I couldn't see what was going on.",0,1,0,0,0
eng_train_track_a_01838,"So , I spent the whole day staring out of my bedroom window close to tears, which says a lot because I don't cry easily.",0,1,0,1,0
eng_train_track_a_02292,The monstrosity is gone.,0,0,1,0,0
eng_train_track_a_00383,But I really do know it is my heart speaking through me and i am being taken over by the heart and not the mind i feel inspired.,0,0,1,0,0
eng_train_track_a_00211,My brain stops and then I feel like conking out.,0,1,0,1,0
eng_train_track_a_01160,The next day I got a tetanus shot.,0,1,0,0,0
eng_train_track_a_00917,", my stomach turned into a pile of dogshit and I nearly puked.",0,1,0,0,0
eng_train_track_a_00135,Went to a party at a friends house.,0,0,1,0,0
eng_train_track_a_01151,What demon likes peas?,0,0,0,0,1
eng_train_track_a_01119,The black panther is here!.,0,1,0,0,1
eng_train_track_a_01144,"she is so intrusive in my life, I have issues at work.",1,1,0,1,0
eng_train_track_a_01907,I was totally and completely fine with the fact that I had just been bludgeoned with a trampoline $ until I saw the blood; the 57 gallons of blood that proceeded to spew out of my face and cover my tiny little body.,0,1,0,1,1
eng_train_track_a_00459,It felt like someone was squeezing my heart.,0,1,0,1,0
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0
eng_train_track_a_02432,"My heart clenched as I heard it, he was clearly worried for the girl.",0,1,0,1,0
eng_train_track_a_00275,I had been AWAKE.,0,1,0,0,1
eng_train_track_a_00228,Coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car.,0,1,0,0,1
eng_train_track_a_01061,I know with all my heart that taking this job was the right thing to do.,0,0,1,0,0
eng_train_track_a_01154,I closed my eyes and took a deep breath.,0,1,1,0,0
eng_train_track_a_02491,I heard footsteps going down to the basement.,0,1,0,0,1
eng_train_track_a_02563,The couple broke up a few months after we moved in and the tension was insane.,1,1,0,1,1
eng_train_track_a_01088,So we get there and order some drinks.,0,0,1,0,0
eng_train_track_a_01852,But there was peace in my heart.,0,0,1,0,0
eng_train_track_a_00599,"All on my lonesome, thanks for all the encouragement, it was worth it, I went on Wednesday morning and it still hurts to sit down / raise my arms / move, but especially my triceps.",0,0,0,1,0
eng_train_track_a_02756,The pain was immediate and intense.,0,1,0,1,0
eng_train_track_a_00489,I couldn't put my finger on it.,0,1,0,0,1
eng_train_track_a_00569,"My knees remained together throughout, but my clitty kept becoming excited.",0,1,0,0,0
eng_train_track_a_01789,wanted to quickly go home and hide my face.,0,1,0,1,0
eng_train_track_a_01742,"When I finally opened my eyes, it was into the searing white heat of a desert landscape.",0,1,0,0,1
eng_train_track_a_01546,Pretty much everyone objected to my wedding.,1,1,0,1,1
eng_train_track_a_00802,I was writing away.,0,0,1,0,0
eng_train_track_a_00292,"One day during practice, the question was read, ""Finish, the opening line of the traditional American song which begins, 'I wish I was-'""",0,0,0,0,1
eng_train_track_a_00582,My parents took me up there for my 16th birthday.,0,0,1,0,0
eng_train_track_a_00317,My heart is aching today.,0,1,0,1,0
eng_train_track_a_00263,3.Woke up from a horrible dream of my ex boyfriend with his new girlfriend.,1,1,0,1,0
eng_train_track_a_00307,"I had no strength to reach for it, although I craved for it-since the hot water stopped flushing my skin, I felt icy needles and blades of cold air attacking my skin.",0,1,0,1,0
eng_train_track_a_02485,It was quite old.,0,0,0,0,1
eng_train_track_a_00375,"I went up on stage and sang my heart out, and afterwards signed up to sing another song with Becca ( alas we ran out of time ), and though I don't know any dance moves, I got a bit of a rythm, so it was all good!",0,0,1,0,0
eng_train_track_a_00908,And they probably knew exactly what your dad saw.,0,1,0,0,1
eng_train_track_a_00119,and throw my hands in the air.,0,0,1,0,0
eng_train_track_a_01292,"Then while it was still on my heart, I opened it into a V with my index and middle finger.",0,0,1,0,0
eng_train_track_a_01442,"Enthusiastic and filled with hope I entered the voting booth that was so small I had to duck to get in, and hit my head.",0,0,1,0,1
eng_train_track_a_00114,"an hour after i got here my eyes swelled up and are so itchy, my athsma is ridiculous ( in vic i do nt even take medications!",0,1,0,1,0
eng_train_track_a_00065,It cut through all the fear and anger in my brain.,1,1,0,0,0
eng_train_track_a_01363,Let's go back to the gym.,0,0,1,0,0
eng_train_track_a_02749,She ended up going home after that.,0,0,0,1,0
eng_train_track_a_02138,He always assumed he was hallucinating or just going crazy.,0,1,0,1,0
eng_train_track_a_02249,My heart leaped and I held out my palm.,0,0,1,0,1
eng_train_track_a_00105,The stench hit me first.,0,1,0,0,1
eng_train_track_a_02230,"I don't know what it is about my mouth, but it holds onto colour for AGES.",0,0,1,0,0
eng_train_track_a_01034,I found an old sweatshirt on the floor and tied it tightly around my leg.,0,1,0,0,0
eng_train_track_a_00222,"She claimed I beat her, raped her, tortured, and abused her.",1,1,0,1,1
eng_train_track_a_01140,"I land off-kilter and go crashing into the drum set and take a Hi-Hat to the center of my spine, severing my nerves and leaving me paralyzed.",1,1,0,1,1
eng_train_track_a_00231,It was funny because I thought I broke my arm.,0,1,1,0,1
eng_train_track_a_02665,"I sat there and closed my eyes as the water ( oyu for hot water, people, not mizu ) swirled around me like a mini massage.",0,0,1,0,0
eng_train_track_a_00652,it was really strange since I braced to hit the wall and ended up falling to the ground.,0,1,0,0,1
eng_train_track_a_00810,"But thank you for your offer A sudden tugging at his side made him spin, having to fight the instinct to let his hand fly out.",1,1,0,0,1
eng_train_track_a_01469,An OBE is an Out of Body Experience.,0,0,0,0,1
eng_train_track_a_00254,"I want to learn about you, communicate with you.",0,0,1,0,0
eng_train_track_a_02131,He notes that he is disgruntled about the lack of pirate music.,1,0,0,0,0
eng_train_track_a_01647,"xD As of now, I'm getting tired all the time and my belly is getting firm already.",0,1,1,1,0
eng_train_track_a_02578,I was kicking and cupping my hands for dear life.,0,1,0,0,0
eng_train_track_a_00545,It was psychological torture...,1,1,0,1,0
eng_train_track_a_01004,"Originally Posted September 18th, 2007 I walked down the driveway, pushing back the stinging pain that kept trying to force a few tears out of my eyes.",0,1,0,1,0
eng_train_track_a_02660,I am groggy with 1 eye half closed.,0,1,0,0,0
eng_train_track_a_02020,(It was pretty bad).,0,1,0,1,0
eng_train_track_a_01263,In college we had a lot of foreign students at school.,0,0,1,0,0
eng_train_track_a_00474,"it ended quickly, amidst lots of petty jealousy.",1,0,0,1,0
eng_train_track_a_01833,"And without even stopping to think about it, I tuck one of those boxes under my arm and go back to the living room.",0,0,1,0,0
eng_train_track_a_01648,He was pretty scared and was talking fast.,0,1,0,0,0
eng_train_track_a_02647,"Chapter Nine: Honestly, when I was alive you could not have paid me to show my face at the community center.",1,0,0,1,0
eng_train_track_a_00312,He ended up skidding down the bark and scraping raw the insides of his thighs.,0,1,0,1,1
eng_train_track_a_02520,At 3000 comments deep no one will read it but I genuinely believe it's the creepiest one here.,0,1,0,0,1
eng_train_track_a_00110,I got a little burn on my finger and it ticked me off.,1,1,0,1,0
eng_train_track_a_00876,"Got ready for junior year to end June School ended, I dyed my hair purple lol... I sprained my ankle on the way to the riverfront festival.",0,1,0,1,0
eng_train_track_a_02497,It was last year when I turned 18th.,0,0,1,0,0
eng_train_track_a_02219,But it's okay because I was confident.,0,0,1,0,0
eng_train_track_a_00589,I lost my job.,0,1,0,1,0
eng_train_track_a_02671,"She would always scream and try to get him to swim across the river to her, but he refused.",1,1,0,1,0
eng_train_track_a_02389,We weren't allowed to cover her.,1,1,0,1,0
eng_train_track_a_00693,Who loses a sock?,1,0,0,0,1
eng_train_track_a_01617,(I'm Native American) She said she only wanted a white american boy friend.,1,1,0,1,1
eng_train_track_a_00368,The asphalt was so hot it had burned the balls of my feet to the point of blistering from standing on it.,1,1,0,0,0
eng_train_track_a_02433,"But my foot doesn't walk half a mile without pain, I've got a streaming cold that's refused to go away for a week, and as well as being entirely idle, I've got an aversion to crowds, actually an aversion to more than three people on the street at the same time.",0,1,0,1,0
eng_train_track_a_02546,P. if you're reading this...FUCK YOU.,1,0,0,0,0
eng_train_track_a_00953,"Arms back, chin down.",0,1,0,0,0
eng_train_track_a_00708,You are the demon.,1,1,0,0,1
eng_train_track_a_02713,I had an answer to every question and made sure to raise my hand.,0,0,1,0,0
eng_train_track_a_00572,Our hands outstretched for the most amazing high five of my life.,0,0,1,0,1
eng_train_track_a_01135,here's the problem; i itch so bad i want to rip off my skin.,0,1,0,0,0
eng_train_track_a_01738,"Total: 80.5 miles ( 10,550 ' ) My legs felt great all week, which is really encouraging considering this is the first week of the taper.",0,0,1,0,1
eng_train_track_a_02559,Her mom and grandma are worse to deal with than her.,1,1,0,0,0
eng_train_track_a_02716,"With a surge of excitement about making the trip to Meadowlands, I also had a sense of dread because I realized what kind of car they were driving.",0,1,1,0,0
eng_train_track_a_00630,"Leaning my head back into the basin, I close my eyes and as the young girl behind me streams hot water through my hair, I feel the jangling tension slowly subsiding inside my body.",0,0,1,0,0
eng_train_track_a_02617,That was my first big heart break.,0,1,0,1,0
eng_train_track_a_00145,"What came out of my mouth was: ""Because white reigns supreme.",1,1,0,1,1
eng_train_track_a_00594,"I've never seen my mom drunk before, never since.",0,1,0,1,1
eng_train_track_a_01230,Nothing but the dark.,0,1,0,1,0
eng_train_track_a_02404,( you know who you ladies are ) Tracy brought out the very first picture of an Angel and it brought tears to my eyes.,0,0,0,1,0
eng_train_track_a_00757,She said she wasn't going to be at school for at least a week.,0,1,0,0,1
eng_train_track_a_01252,Tears streaming down my face I say '' let this end be because of my own making. '',0,1,0,1,0
eng_train_track_a_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,1,0,0
eng_train_track_a_01193,"""Well I have loads, you can share mine"".",0,0,1,0,0
eng_train_track_a_01281,"So the money is ""taken"" from the employees.",1,0,0,0,0
eng_train_track_a_00490,He let a raccoon into our house.,1,1,0,0,1
eng_train_track_a_01229,it's currently snowing big flakes outside and i'm crossing my fingers and hoping for a snow day.,0,1,1,0,0
eng_train_track_a_00560,This is pretty tame.,0,0,1,0,0
eng_train_track_a_01409,"With a few hours of daylight, I immediately hopped on my back after unpacking the car.",0,0,1,0,0
eng_train_track_a_01381,My brain screams at me as I force myself to sit on the toilet lid.,1,1,0,1,0
eng_train_track_a_00808,"Later, the police find the child naked and bleeding on the floor.",1,1,0,1,1
eng_train_track_a_01471,""" The black family behind me looked mortified.",0,1,0,1,1
eng_train_track_a_01245,I caught a co-worker stealing my prescription migraine medicine.,1,1,0,0,1
eng_train_track_a_01638,They're sitting right across the pool from my mom just STARING at her.,1,1,0,0,1
eng_train_track_a_00836,my knee's are the only weight left keeping me up to abroad.,0,1,0,1,0
eng_train_track_a_01107,"I could feel it on my back; cold, wet and aged.",0,1,0,1,0
eng_train_track_a_01628,""" The cop tells him to have a nice day and walks away.",1,0,1,0,1
eng_train_track_a_00360,"I say cool, how did he meet her.",0,0,1,0,1
eng_train_track_a_01916,They also had to flush out my eyes ( which i had had closed the ENTIRE time ) cause they had glass in them.,0,1,0,1,0
eng_train_track_a_00939,He also told me I would be his wife one day.,0,0,1,0,1
eng_train_track_a_02158,But regardless of that... I know something is wrong in my head.,0,1,0,1,0
eng_train_track_a_01358,Then it hit me.,0,1,0,0,1
eng_train_track_a_01356,eventually i fell asleep on the floor of her closet.,0,1,0,1,0
eng_train_track_a_01754,"There was nothing I could do, all things were over Tears were starting to flow from my eyes.",0,1,0,1,0
eng_train_track_a_00578,"My face is cold, and my hands are guilty.",0,1,0,1,0
eng_train_track_a_00206,"i play it over and over in my head, word for word.",0,1,0,1,0
eng_train_track_a_01964,There was a red burn mark on my chin for a couple of weeks.,0,0,0,1,0
eng_train_track_a_00736,"I could have gone inside, explored more, done so much more but I wasn't accustom to this laid back run down place yet, a part of me still watched every car that drove by and looked over my shoulder every few seconds.",0,1,0,1,0
eng_train_track_a_00506,"It felt good in my hands, it felt RIGHT.",0,0,1,0,0
eng_train_track_a_02664,w.... l....... y the whole time because of my back.,0,1,0,1,0
eng_train_track_a_01557,"the whole time, relentless joy, as though a smile was consistently on my face, and even when it wasn't, it still lay beneath the surface, a laugh always ready to come out.",0,0,1,0,0
eng_train_track_a_01134,By the time Tuesday afternoon came my brain was gone.,0,1,0,1,0
eng_train_track_a_01897,My mind was uncooperative when a pen finally found my hand.,1,1,0,0,0
eng_train_track_a_00958,Decide to be roommates.,0,0,1,0,0
eng_train_track_a_02116,The most solid relationship in my whole life started with Zelda and Mario!,0,0,1,0,1
eng_train_track_a_00885,"Prior to, we got some humongous popsicles which turned my tongue an amazing shade of blue, and we visited the children's A&S display.",0,0,1,0,0
eng_train_track_a_01509,"The owners have a light in their yard for security purposes, but the light doesn't extend really far.",0,0,0,0,1
eng_train_track_a_02442,"One is explainable, the other still stumps me.",0,1,0,0,1
eng_train_track_a_02183,It wasn't on my shoe anymore.,0,0,1,0,1
eng_train_track_a_00853,My finger is an asshole.,1,0,0,0,0
eng_train_track_a_00870,"this probably doesn't actually make much sense at the moment, but my head hurts.",0,1,0,0,0
eng_train_track_a_02579,"I was partly dehydrated, and partly `` festive '' and was sitting in my chair with my feet in the pool, drinking water, wanting to take a nap.",0,0,1,0,0
eng_train_track_a_01233,My face was just not meant to smile.,1,0,0,1,0
eng_train_track_a_02129,i'm going to meet your sister.,0,1,1,0,0
eng_train_track_a_02439,The whole house and the people and the flame seemed to vanish and leave me in an endless darkness as soon as my eyes were closed.,0,1,0,1,0
eng_train_track_a_02357,"My arms started to ache, but I had to do another 200 and I thought, no I came all this way for nothing so I continued!",0,1,1,0,0
eng_train_track_a_02108,Started out with me having a migraine and once I got the pain to go away it still was messing with my brain.,0,1,0,1,0
eng_train_track_a_02422,"I cried my eyes out in fifth period, much to Carnell and Natasha's displeasure.",0,0,0,1,0
